source,title,link,date,n_visualizations,summary,year_month,year
Carriola de Marín,O deputado nacionalista Paulo Ríos traslada ao parlamento galego a situación precaria do Centro de Saúde de Marín - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/5644,2023-09-16,1340,Paulo Ríos critica “a política de parches” do PP que conduce ao desmantelamento da Atención Primariaeafirma que o SERGAS coñecía de antemán o número de xubilacións e previsións de vacacións  pero  non tomou medidas e seguiu sobrecargando ao persoal.,2023-09,2023
Carriola de Marín,“Opromar” pone en marcha una app innovadora que facilita el consumo de pescado como recomiendan los nutricionistas - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/6098,2023-11-29,1321,"Una aplicación desarrollada por los armadores marinenses y la Fundación Española de la Nutrición fue presentada esta mañana en el Complejo Hospitalario Universitario de Santiago.El proyecto, anunciado en Conxemar 2022, ya ha tomado cuerpo y permite a los usuarios acceder a la información de las especies, a su distribución y a las preparaciones, “al menos tres diferentes”, más saludables",2023-11,2023
Carriola de Marín,O BNG lamenta as perdas ocasionadas polos erros do sistema de rego no Stock Marín - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/5526,2023-08-29,1318,"Este feito podería quedar nun incidente anecdótico, mais é o cuarto ano consecutivo no que o rego automático salta estropeando material dos comerciantes.",2023-08,2023
Carriola de Marín,El concejal del BNG Souto Piñeiro propone mejoras de gestión ecológica de residuos - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/5809,2023-09-08,1311,"Conseguir un Marín más limpio en consideración del concejal del BNG José Luis Souto Piñeiro, es una propuesta de gestión ecológica que su grupo municipal, el BNG, hace de los residuos en Marín y para ello el edil nacionalista presentó recientemente una moción en ese sentido para ser tratada por el Pleno.",2023-09,2023
Carriola de Marín,Presentado el proyecto de la segunda fase de O Forte y del tramo entre Portocelo y Mogor del futuro paseo de litoral - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/6069,2023-11-24,1301,María Ramallo anunció ayer  que ya cuenta con los proyectos de la segunda fase de remodelación de la Rúa do Forte y del tramo comprendido entre las playas de Portocelo y Mogor que conforman una parte del futuro paseo de litoral que facilitará el recorrido peatonal o en bicicletadesde Cantodarea a Mogor sin interrupciones urbanas,2023-11,2023
Carriola de Marín,María Ramallo designa a Santos Costa como teniente de alcalde y nombra la composición de la Junta de Gobierno Local - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/5145,2023-06-20,1284,"La nueva corporación ya está prácticamente estructurada en lo que al grupo de gobierno se refiere porque la alcaldesa, sin más dilación y cuarenta y ocho horas después de tomar posesión del bastón de mando, decidió nombrar aManuel Santos Costacomo teniente de alcalde con las prerrogativas que supone para el concejal que durante la pasada etapa municipal ocupó las concejalías de Economía y Urbanismo, además de ser Diputado en el parlamento de Galicia.",2023-06,2023
Carriola de Marín,El BNG considera un abuso que personas con problemas de movilidad hayan de avisar 24 horas antes de tomar un autobús - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/5408,2023-08-09,1283,"Lucía Santos,portavoz del BNG en el concello de Marín critica severamente el hecho de que personas que precisan de transporte adaptado, deban comunicarlo a la empresa de transporte con 24 horas de antelación y califica esa medida como totalmente discriminatoria y que va contra la integración social de las personas con discapacidad",2023-08,2023
Carriola de Marín,La alcaldesa María Ramallo recibe la visita del  Jefe Superior de la Policía Nacional de Galicia  - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/5870,2023-10-20,1250,,2023-10,2023
Carriola de Marín,El BNG lleva a la “Valedora do Pobo” lo que entiende como falta de transparencia en las cuentas de la “Festa Corsaria” - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/6012,2023-11-13,1229,"“Vemos con preocupación como o Concello de Marín está a cometer un feito moi grave de forma reiterada, incumprindo a lei de transparencia municipal e impedindo poder realizar o noso  traballo”,indica Lucía Santos en un comunicado en el que afirma haber presentado ante la “Valedora do Pobo” una reclamación al respecto",2023-11,2023
Carriola de Marín,María Ramallo se hará este mediodía con su cuarto bastón de mando del concello para los próximos cuatro años  - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/5131,2023-06-17,1229,,2023-06,2023
Carriola de Marín,El PSOE critica la inoportunidad de las obras del aparcamiento de Campo en las jornadas de visita al cementerio - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/5959,2023-11-03,1221,"El portavoz socialista Manuel Pazos critica que las obras del aparcamiento del cementerio de Santa María do Campo hayan dejado sin servicio a los vecinos que, en el día de Todos los Santos, se acercaron hasta el cementerio. Entiende también que la mala planificación de Xunta y Concello ha hecho que una obra anunciada hace un año se inicie justo cuando más necesidad hay del aparcamiento.",2023-11,2023
